City,Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Lat,Long
Qaanaaq,-14.31,63,100,1.63,77.48,-69.36
Bonavista,30.99,69,32,23,48.65,-53.11
Mataura,54,95,63,3,-46.19,168.86
Dayong,57.2,71,0,4.47,25.02,118.29
Souillac,80.6,78,75,5.82,-20.52,57.52
The Valley,82.4,57,20,10.29,18.22,-63.06
Ribeira Grande,64.4,72,40,8.05,38.52,-28.7
Cape Town,73,60,20,31.09,-33.93,18.42
Araxá,77.11,73,68,7.47,-19.59,-46.94
Gōtsuchō,44.91,69,67,31.76,35,132.22
Fairbanks,23,92,90,1.23,64.84,-147.72
Sloboda,29.25,49,100,14.34,51.14,40.3
Paamiut,6.57,60,17,11.48,61.99,-49.67
Lavrentiya,32.11,98,100,5.01,65.58,-171
Mil'kovo,12.69,95,100,9.82,54.72,158.62
Lorengau,83.07,76,100,13.31,-2.02,147.27
Vaini,77,94,75,5.82,-21.2,-175.2
Bengkulu,76.59,90,99,3.65,-3.8,102.27
Ushuaia,57.2,67,75,4.47,-54.8,-68.3
Hithadhoo,84.31,55,68,2.3,-0.6,73.08
Rikitea,77.85,79,53,11.59,-23.12,-134.97
Marawi,75.99,81,0,5.01,8,124.29
Asău,41,27,0,11.41,46.43,26.4
Punta Arenas,60.8,67,100,23.04,-53.15,-70.92
Belaya Gora,-25.65,97,0,1.21,68.53,146.42
Lamu,84.15,79,56,14.9,-2.27,40.9
Kaitangata,57,84,100,9.82,-46.28,169.85
Hobart,55.4,58,90,4.7,-42.88,147.33
Rome,34,46,1,9.17,43.21,-75.46
Longyearbyen,-4,58,20,4.7,78.22,15.64
Avanigadda,84.2,66,20,2.24,16.02,80.92
San Policarpo,77.49,76,0,8.16,12.18,125.51
Marsh Harbour,72.81,73,0,10.76,26.54,-77.06
Russell,73,77,75,0.76,32.35,-85.2
Cherskiy,2.61,96,100,4.43,68.75,161.3
Klaksvík,33.8,69,97,20.8,62.23,-6.59
Sitka,30.2,86,20,2.51,57.05,-135.33
Adré,94.41,9,20,7.36,13.47,22.2
Petropavlovsk-Kamchatskiy,23,100,90,8.95,53.05,158.65
Deputatsky,-32.31,93,0,1.34,69.3,139.9
Acajutla,77,53,0,2.24,13.59,-89.83
Bambanglipuro,77.11,85,100,5.73,-7.95,110.28
Puerto Ayora,80.6,83,40,9.17,-0.74,-90.35
